"","circunscripción","organismo","año_mes","causas resueltas","a termino","luego 1er Vencim","luego 2do Vencim","sentencias","autos","sin clasif","resol vencidas"
"108","Paraná","Jdo Civ y Com 5","2024-05","81","81","0","0","5","76","0","0 %"
"109","Paraná","Jdo Civ y Com 5","2024-06","47","47","0","0","8","39","0","0 %"
"110","Paraná","Jdo Civ y Com 6","2024-03","66","66","0","0","3","63","0","0 %"
"111","Paraná","Jdo Civ y Com 6","2024-04","66","66","0","0","6","60","0","0 %"
"112","Paraná","Jdo Civ y Com 6","2024-05","72","72","0","0","9","63","0","0 %"
"113","Paraná","Jdo Civ y Com 6","2024-06","41","41","0","0","2","39","0","0 %"
"114","Paraná","Jdo Civ y Com 7","2024-03","47","45","1","1","6","41","0","4 %"
"115","Paraná","Jdo Civ y Com 7","2024-04","69","66","2","1","6","63","0","4 %"
"116","Paraná","Jdo Civ y Com 7","2024-05","86","79","7","0","21","65","0","8 %"
"117","Paraná","Jdo Civ y Com 7","2024-06","57","53","2","2","9","48","0","7 %"
"118","Paraná","Jdo Civ y Com 8","2024-03","66","66","0","0","13","53","0","0 %"
"119","Paraná","Jdo Civ y Com 8","2024-04","55","53","2","0","12","43","0","4 %"
"120","Paraná","Jdo Civ y Com 8","2024-05","79","79","0","0","15","64","0","0 %"
"121","Paraná","Jdo Civ y Com 8","2024-06","52","52","0","0","10","42","0","0 %"
"122","San Salvador","Jdo Civ y Com Lab Fam","2024-03","82","82","0","0","26","56","0","0 %"
"123","San Salvador","Jdo Civ y Com Lab Fam","2024-04","65","65","0","0","15","50","0","0 %"
"124","San Salvador","Jdo Civ y Com Lab Fam","2024-05","67","67","0","0","20","47","0","0 %"
"125","San Salvador","Jdo Civ y Com Lab Fam","2024-06","78","78","0","0","24","54","0","0 %"
"126","Tala","Jdo Civ y Com -ccomp.Laboral","2024-03","42","39","1","2","7","35","0","7 %"
"127","Tala","Jdo Civ y Com -ccomp.Laboral","2024-04","43","38","3","2","12","31","0","12 %"
"128","Tala","Jdo Civ y Com -ccomp.Laboral","2024-05","35","32","1","2","8","27","0","9 %"
"129","Tala","Jdo Civ y Com -ccomp.Laboral","2024-06","47","44","1","2","10","37","0","6 %"
"130","Uruguay","Jdo Civ y Com 1","2024-03","80","76","3","1","16","64","0","5 %"
"131","Uruguay","Jdo Civ y Com 1","2024-04","100","99","0","1","17","83","0","1 %"
"132","Uruguay","Jdo Civ y Com 1","2024-05","124","122","2","0","18","106","0","2 %"
"133","Uruguay","Jdo Civ y Com 1","2024-06","78","76","2","0","9","69","0","3 %"
"134","Uruguay","Jdo Civ y Com 2","2024-03","96","87","6","3","18","78","0","9 %"
"135","Uruguay","Jdo Civ y Com 2","2024-04","85","80","3","2","20","65","0","6 %"
"136","Uruguay","Jdo Civ y Com 2","2024-05","118","105","11","2","44","74","0","11 %"
"137","Uruguay","Jdo Civ y Com 2","2024-06","104","95","5","4","28","76","0","9 %"
"138","Victoria","Jdo Civ y Com -ccomp.Laboral","2024-03","59","59","0","0","17","42","0","0 %"
"139","Victoria","Jdo Civ y Com -ccomp.Laboral","2024-04","47","47","0","0","20","27","0","0 %"
"140","Victoria","Jdo Civ y Com -ccomp.Laboral","2024-05","41","41","0","0","11","30","0","0 %"
"141","Victoria","Jdo Civ y Com -ccomp.Laboral","2024-06","37","36","1","0","10","27","0","3 %"
"142","Villaguay","Jdo Civ y Com 1 -ccomp.Laboral","2024-03","52","44","4","4","13","39","0","15 %"
"143","Villaguay","Jdo Civ y Com 1 -ccomp.Laboral","2024-04","47","40","7","0","5","42","0","15 %"
"144","Villaguay","Jdo Civ y Com 1 -ccomp.Laboral","2024-05","44","41","1","2","8","36","0","7 %"
"145","Villaguay","Jdo Civ y Com 2 -ccomp.Laboral","2024-03","36","35","1","0","3","33","0","3 %"
"146","Villaguay","Jdo Civ y Com 2 -ccomp.Laboral","2024-04","27","27","0","0","8","19","0","0 %"
"147","Villaguay","Jdo Civ y Com 2 -ccomp.Laboral","2024-05","68","68","0","0","9","59","0","0 %"
"148","Villaguay","Jdo Civ y Com 2 -ccomp.Laboral","2024-06","44","44","0","0","7","37","0","0 %"
