"","circunscripcion","organismo","año_mes","Total","SUCESORIOS","EJECUCIONES","ORDINARIOS","SUMARISIMO","COBRO DE PESOS","DESALOJO","INCIDENTES","CAUTELARES","MONITORIOS","INTERDICTOS","PROC.COSTIT.","PREPARATORIOS","BENEF.LITIG.SG.","HOMOLOGACIONES","OTROS"
"69","Gualeguaychú","Jdo Civ y Com 3","2024-05","49","21","10","7","4","0","0","2","0","1","0","0","0","1","0","3"
"70","Gualeguaychú","Jdo Civ y Com 3","2024-06","45","18","7","5","4","1","0","1","0","1","0","1","0","1","0","6"
"71","Islas del Ibicuy","Jdo Civ Com y Lab","2024-03","8","6","0","0","0","0","0","0","0","0","0","0","0","0","0","2"
"72","Islas del Ibicuy","Jdo Civ Com y Lab","2024-04","18","10","2","2","0","0","0","0","0","0","0","0","0","2","0","2"
"73","Islas del Ibicuy","Jdo Civ Com y Lab","2024-05","8","2","2","4","0","0","0","0","0","0","0","0","0","0","0","0"
"74","Islas del Ibicuy","Jdo Civ Com y Lab","2024-06","6","2","2","2","0","0","0","0","0","0","0","0","0","0","0","0"
"75","La Paz","Jdo Civ y Com 1 -ccomp.","2024-03","17","3","1","2","0","0","0","2","0","8","0","0","0","0","0","1"
"76","La Paz","Jdo Civ y Com 1 -ccomp.","2024-04","11","4","2","2","0","0","0","1","0","0","0","2","0","0","0","0"
"77","La Paz","Jdo Civ y Com 1 -ccomp.","2024-05","29","19","2","3","0","0","0","2","0","0","1","1","0","0","0","1"
"78","La Paz","Jdo Civ y Com 1 -ccomp.","2024-06","7","0","2","0","0","0","0","0","0","3","0","0","1","0","0","1"
"79","La Paz","Jdo Civ y Com 2 -ccomp.","2024-03","17","9","1","2","0","0","1","0","0","1","0","0","0","1","0","2"
"80","La Paz","Jdo Civ y Com 2 -ccomp.","2024-04","25","15","3","3","0","0","0","0","0","1","0","0","0","1","0","2"
"81","La Paz","Jdo Civ y Com 2 -ccomp.","2024-05","6","1","1","0","0","0","0","0","1","2","0","1","0","0","0","0"
"82","La Paz","Jdo Civ y Com 2 -ccomp.","2024-06","22","19","1","0","0","0","0","0","0","0","0","0","0","0","1","1"
